sample	status	config_source	stable_config	run_config	sample_output_dir	elapsed_seconds	instructions	effective_instructions	exit_code	stop_reason	result_kind	max_instructions	stdout_log	stderr_log	api_jsonl_log	api_human_log	console_log	sandbox_output_dir
0a678fc36c23026032a297e48335233d	ok	stable	/home/dev/Vm_Eng_Scan/configs/sample_0a678fc36c23026032a297e48335233d_trace.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/0a678fc36c23026032a297e48335233d/run.config.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/0a678fc36c23026032a297e48335233d	9.854	50000000	50000000	None	instruction_budget_exhausted	summary	50000000	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/0a678fc36c23026032a297e48335233d/run.stdout.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/0a678fc36c23026032a297e48335233d/run.stderr.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/0a678fc36c23026032a297e48335233d/logs/0a678fc36c23026032a297e48335233d.api.jsonl	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/0a678fc36c23026032a297e48335233d/logs/0a678fc36c23026032a297e48335233d.api.human.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/0a678fc36c23026032a297e48335233d/logs/0a678fc36c23026032a297e48335233d.console.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/0a678fc36c23026032a297e48335233d/sandbox
18fdde4bf8d3a369514b0bc8ddcf35dc	ok	stable	/home/dev/Vm_Eng_Scan/configs/sample_18fdde4bf8d3a369514b0bc8ddcf35dc_trace.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/18fdde4bf8d3a369514b0bc8ddcf35dc/run.config.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/18fdde4bf8d3a369514b0bc8ddcf35dc	7.286	10000000	10000000	1	instruction_budget_exhausted	summary	10000000	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/18fdde4bf8d3a369514b0bc8ddcf35dc/run.stdout.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/18fdde4bf8d3a369514b0bc8ddcf35dc/run.stderr.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/18fdde4bf8d3a369514b0bc8ddcf35dc/logs/18fdde4bf8d3a369514b0bc8ddcf35dc.api.jsonl	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/18fdde4bf8d3a369514b0bc8ddcf35dc/logs/18fdde4bf8d3a369514b0bc8ddcf35dc.api.human.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/18fdde4bf8d3a369514b0bc8ddcf35dc/logs/18fdde4bf8d3a369514b0bc8ddcf35dc.console.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/18fdde4bf8d3a369514b0bc8ddcf35dc/sandbox
23f0eaf307a6d7dd25b1ae85a5a7466b	ok	stable	/home/dev/Vm_Eng_Scan/configs/sample_23f0eaf307a6d7dd25b1ae85a5a7466b_trace.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/23f0eaf307a6d7dd25b1ae85a5a7466b/run.config.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/23f0eaf307a6d7dd25b1ae85a5a7466b	0.978	5896046	5896046	1	main_thread_terminated	summary	10000000	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/23f0eaf307a6d7dd25b1ae85a5a7466b/run.stdout.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/23f0eaf307a6d7dd25b1ae85a5a7466b/run.stderr.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/23f0eaf307a6d7dd25b1ae85a5a7466b/logs/23f0eaf307a6d7dd25b1ae85a5a7466b.api.jsonl	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/23f0eaf307a6d7dd25b1ae85a5a7466b/logs/23f0eaf307a6d7dd25b1ae85a5a7466b.api.human.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/23f0eaf307a6d7dd25b1ae85a5a7466b/logs/23f0eaf307a6d7dd25b1ae85a5a7466b.console.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/23f0eaf307a6d7dd25b1ae85a5a7466b/sandbox
42c4b1eaeba9de5a873970687b4abc34	ok	stable	/home/dev/Vm_Eng_Scan/configs/sample_42c4b1eaeba9de5a873970687b4abc34_trace.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/42c4b1eaeba9de5a873970687b4abc34/run.config.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/42c4b1eaeba9de5a873970687b4abc34	1.430	6596395	6596395	1	main_thread_terminated	summary	10000000	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/42c4b1eaeba9de5a873970687b4abc34/run.stdout.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/42c4b1eaeba9de5a873970687b4abc34/run.stderr.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/42c4b1eaeba9de5a873970687b4abc34/logs/42c4b1eaeba9de5a873970687b4abc34.api.jsonl	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/42c4b1eaeba9de5a873970687b4abc34/logs/42c4b1eaeba9de5a873970687b4abc34.api.human.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/42c4b1eaeba9de5a873970687b4abc34/logs/42c4b1eaeba9de5a873970687b4abc34.console.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/42c4b1eaeba9de5a873970687b4abc34/sandbox
567dbfa9f7d29702a70feb934ec08e54	ok	stable	/home/dev/Vm_Eng_Scan/configs/sample_567dbfa9f7d29702a70feb934ec08e54_trace.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/567dbfa9f7d29702a70feb934ec08e54/run.config.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/567dbfa9f7d29702a70feb934ec08e54	0.385	17247	17247	0	all_threads_terminated	summary	50000000	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/567dbfa9f7d29702a70feb934ec08e54/run.stdout.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/567dbfa9f7d29702a70feb934ec08e54/run.stderr.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/567dbfa9f7d29702a70feb934ec08e54/logs/567dbfa9f7d29702a70feb934ec08e54.api.jsonl	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/567dbfa9f7d29702a70feb934ec08e54/logs/567dbfa9f7d29702a70feb934ec08e54.api.human.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/567dbfa9f7d29702a70feb934ec08e54/logs/567dbfa9f7d29702a70feb934ec08e54.console.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/567dbfa9f7d29702a70feb934ec08e54/sandbox
58ac2f65e335922be3f60e57099dc8a3	ok	stable	/home/dev/Vm_Eng_Scan/configs/sample_58ac2f65e335922be3f60e57099dc8a3_trace.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/58ac2f65e335922be3f60e57099dc8a3/run.config.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/58ac2f65e335922be3f60e57099dc8a3	5.261	10000000	10000000	None	instruction_budget_exhausted	summary	10000000	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/58ac2f65e335922be3f60e57099dc8a3/run.stdout.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/58ac2f65e335922be3f60e57099dc8a3/run.stderr.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/58ac2f65e335922be3f60e57099dc8a3/logs/58ac2f65e335922be3f60e57099dc8a3.api.jsonl	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/58ac2f65e335922be3f60e57099dc8a3/logs/58ac2f65e335922be3f60e57099dc8a3.api.human.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/58ac2f65e335922be3f60e57099dc8a3/logs/58ac2f65e335922be3f60e57099dc8a3.console.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/58ac2f65e335922be3f60e57099dc8a3/sandbox
5ccecdd7a28ebb0401cc98e7fd89ba71	error:1	stable	/home/dev/Vm_Eng_Scan/configs/sample_5ccecdd7a28ebb0401cc98e7fd89ba71_trace.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/5ccecdd7a28ebb0401cc98e7fd89ba71/run.config.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/5ccecdd7a28ebb0401cc98e7fd89ba71	0.649		214498			native_error_with_logs	10000000	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/5ccecdd7a28ebb0401cc98e7fd89ba71/run.stdout.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/5ccecdd7a28ebb0401cc98e7fd89ba71/run.stderr.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/5ccecdd7a28ebb0401cc98e7fd89ba71/logs/5ccecdd7a28ebb0401cc98e7fd89ba71.api.jsonl	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/5ccecdd7a28ebb0401cc98e7fd89ba71/logs/5ccecdd7a28ebb0401cc98e7fd89ba71.api.human.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/5ccecdd7a28ebb0401cc98e7fd89ba71/logs/5ccecdd7a28ebb0401cc98e7fd89ba71.console.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/5ccecdd7a28ebb0401cc98e7fd89ba71/sandbox
6b8c5c0a43610e7a69a88e805eb1f44b	ok	stable	/home/dev/Vm_Eng_Scan/configs/sample_6b8c5c0a43610e7a69a88e805eb1f44b_trace.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/6b8c5c0a43610e7a69a88e805eb1f44b/run.config.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/6b8c5c0a43610e7a69a88e805eb1f44b	0.363	56401	56401	0	all_threads_terminated	summary	10000000	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/6b8c5c0a43610e7a69a88e805eb1f44b/run.stdout.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/6b8c5c0a43610e7a69a88e805eb1f44b/run.stderr.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/6b8c5c0a43610e7a69a88e805eb1f44b/logs/6b8c5c0a43610e7a69a88e805eb1f44b.api.jsonl	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/6b8c5c0a43610e7a69a88e805eb1f44b/logs/6b8c5c0a43610e7a69a88e805eb1f44b.api.human.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/6b8c5c0a43610e7a69a88e805eb1f44b/logs/6b8c5c0a43610e7a69a88e805eb1f44b.console.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/6b8c5c0a43610e7a69a88e805eb1f44b/sandbox
9b66f94497b13dd05fc6840894374776	error:1	stable	/home/dev/Vm_Eng_Scan/configs/sample_9b66f94497b13dd05fc6840894374776_trace.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/9b66f94497b13dd05fc6840894374776/run.config.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/9b66f94497b13dd05fc6840894374776	1.100		84839			native_error_with_logs	50000000	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/9b66f94497b13dd05fc6840894374776/run.stdout.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/9b66f94497b13dd05fc6840894374776/run.stderr.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/9b66f94497b13dd05fc6840894374776/logs/9b66f94497b13dd05fc6840894374776.api.jsonl	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/9b66f94497b13dd05fc6840894374776/logs/9b66f94497b13dd05fc6840894374776.api.human.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/9b66f94497b13dd05fc6840894374776/logs/9b66f94497b13dd05fc6840894374776.console.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/9b66f94497b13dd05fc6840894374776/sandbox
e862d56da1077be740ffaa7b5b699675	error:1	stable	/home/dev/Vm_Eng_Scan/configs/sample_e862d56da1077be740ffaa7b5b699675_trace.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/e862d56da1077be740ffaa7b5b699675/run.config.json	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/e862d56da1077be740ffaa7b5b699675	0.607		1062257			native_error_with_logs	10000000	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/e862d56da1077be740ffaa7b5b699675/run.stdout.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/e862d56da1077be740ffaa7b5b699675/run.stderr.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/e862d56da1077be740ffaa7b5b699675/logs/e862d56da1077be740ffaa7b5b699675.api.jsonl	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/e862d56da1077be740ffaa7b5b699675/logs/e862d56da1077be740ffaa7b5b699675.api.human.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/e862d56da1077be740ffaa7b5b699675/logs/e862d56da1077be740ffaa7b5b699675.console.log	/home/dev/Vm_Eng_Scan/run_outputs/hvm_hikari_virtual_engine_20260325_batch/e862d56da1077be740ffaa7b5b699675/sandbox
